Epoch	AverageEpisode_Reward	StdEpisode_Reward	MaxEpisode_Reward	MinEpisode_Reward	Episode_Len	AverageTest_Episode_Reward	StdTest_Episode_Reward	MaxTest_Episode_Reward	MinTest_Episode_Reward	Test_Episode_Len	Total_Interactions	AverageAction_Value	StdAction_Value	MaxAction_Value	MinAction_Value	Actor_Loss	Critic_Loss	Time
1	-274.4498291015625	12601.2	-215.17729	-347.38934	1000.0	-540.93857421875	5.066327	-539.80066	-542.0829	1000.0	4000	0.4845026041666667	81117.57	0.99999434	-0.9994098	-0.8497457682291667	0.21835555013020833	14.101343154907227
2	-309.15557861328125	20660.887	-217.72458	-383.03473	1000.0	-241.7334716796875	843.197	-225.13162	-256.426	1000.0	8000	0.5069343359375	122663.445	0.9999946	-0.99914306	-0.8976197509765625	0.16424449157714843	29.974483489990234
3	-307.652587890625	7954.323	-261.76834	-381.51492	1000.0	-318.85439453125	321.71802	-313.9479	-330.9914	1000.0	12000	0.4071344921875	158913.58	0.9999997	-0.9995923	-0.7796807861328126	0.17048573303222656	45.94891571998596
4	-173.23553466796875	54619.754	-65.0007	-363.5499	1000.0	-45.590084838867185	14106.559	22.946173	-116.81663	1000.0	16000	0.08664626953125	232508.83	1.0	-0.99999267	-0.3584138488769531	0.2340494689941406	62.848074197769165
5	-100.25813293457031	1713.4965	-65.37146	-117.74871	1000.0	3.38641357421875	1468.9742	22.768742	-20.921345	1000.0	20000	0.0927384375	200916.22	1.0	-0.99998343	-0.3485843505859375	0.180658203125	78.70879602432251
6	-82.91944122314453	2385.5312	-45.986675	-114.51699	1000.0	-101.73184814453126	1486.6187	-84.97672	-121.27831	1000.0	24000	0.096083212890625	174327.03	1.0	-0.99993795	-0.3475172119140625	0.15279022216796875	95.27567720413208
7	-34.2254638671875	10951.409	17.630615	-115.25584	1000.0	16.12843017578125	4296.7085	52.3675	-15.057421	1000.0	28000	0.23995869140625	128357.37	0.9999999	-0.9993226	-0.4786280517578125	0.12159076690673828	112.0310788154602
8	96.49446868896484	4673.7207	127.58768	39.33924	1000.0	82.37473754882812	587.11346	95.07268	72.57986	1000.0	32000	0.3401761328125	120398.23	0.99999994	-0.99981016	-0.551885009765625	0.12333059692382813	127.89962244033813
9	-30.757314682006836	42012.074	112.37335	-145.88608	1000.0	-0.8678418159484863	182.75386	5.205223	-8.686536	1000.0	36000	0.4681884765625	117018.28	1.0	-0.9999466	-0.6660421142578125	0.11034584045410156	144.95595526695251
10	21.104476928710938	1060.0431	47.40118	3.651954	1000.0	57.474761962890625	161.44765	62.506058	49.402912	1000.0	40000	0.5292434765625	113592.2	1.0	-0.9999614	-0.7197138671875	0.10279743194580078	162.00187993049622
11	42.448265075683594	27.142338	46.45046	40.119396	1000.0	76.29765014648437	109.71961	80.74072	69.11026	1000.0	44000	0.60725796875	89207.625	1.0	-0.9999805	-0.785608642578125	0.0912489013671875	178.00363659858704
12	50.23186492919922	291.5228	59.363453	36.408245	1000.0	81.40396118164062	595.9832	92.65655	69.517204	1000.0	48000	0.6462799609375	78731.664	1.0	-0.999988	-0.8135560302734375	0.08558222961425781	193.49933981895447
13	42.79058837890625	468.5267	58.35194	28.44277	1000.0	82.05667724609376	353.31537	89.15055	68.852936	1000.0	52000	0.674258046875	72415.13	1.0	-0.99999624	-0.829362060546875	0.08112286376953125	209.25151872634888
14	50.235816955566406	1199.9535	78.971375	32.554756	1000.0	105.7554931640625	406.22382	114.89778	94.78171	1000.0	56000	0.690808359375	68612.4	1.0	-0.9999951	-0.8377420654296875	0.0778587646484375	225.16113114356995
15	33.194705963134766	435.58612	46.85036	17.606565	1000.0	65.3350341796875	406.69244	76.345604	57.673325	1000.0	60000	0.7139003125	62220.74	1.0	-0.9999954	-0.8533927001953125	0.07257720947265625	241.17775702476501
16	44.37785720825195	170.82837	49.238823	33.231712	1000.0	74.75838623046874	447.04843	91.02188	66.22734	1000.0	64000	0.7200975	61970.37	1.0	-0.9999982	-0.8511668090820312	0.07378155517578125	257.3723659515381
17	-72.21796417236328	199473.66	64.01161	-458.85745	1000.0	67.57153930664063	82.03327	74.65391	64.465904	1000.0	68000	0.71833265625	67775.2	1.0	-0.9999984	-0.8435477294921875	0.07270874786376953	273.9735598564148
18	35.63603591918945	545.26825	51.480385	21.968744	1000.0	45.62459716796875	312.42215	55.649227	35.969322	1000.0	72000	0.72148421875	71400.086	1.0	-0.99999756	-0.8422752685546875	0.0717414321899414	289.7989110946655
19	57.18921661376953	648.95386	73.398735	43.27054	1000.0	46.584649658203126	241.15659	52.39304	37.397366	1000.0	76000	0.729458828125	68785.63	1.0	-0.9999991	-0.8458020629882812	0.0689947280883789	306.52566480636597
20	69.26332092285156	172.96638	79.05547	61.406208	1000.0	100.78757934570312	391.4961	109.33012	87.134476	1000.0	80000	0.737795546875	66880.64	1.0	-0.99999875	-0.8486797485351563	0.06813470458984375	322.7511577606201
21	84.74223327636719	88.052795	92.40707	80.72736	1000.0	123.42767333984375	634.58044	135.0427	108.99216	1000.0	84000	0.7496003125	63271.973	1.0	-0.9999983	-0.856500244140625	0.06656944274902343	338.8116068840027
22	54.852230072021484	668.652	75.306206	40.886524	1000.0	88.13291015625	2410.267	103.30538	67.472946	1000.0	88000	0.762476484375	60009.836	1.0	-0.9999946	-0.8656473388671875	0.06381926727294922	354.481463432312
23	82.61775207519531	96.544334	88.759186	75.46427	1000.0	104.71732177734376	29.150255	107.40749	101.697495	1000.0	92000	0.768080625	58376.883	1.0	-0.9999975	-0.8678319091796876	0.06219046783447266	369.87348675727844
24	68.8821792602539	173.49445	75.41587	57.98886	1000.0	88.07345581054688	104.136116	93.195496	83.76392	1000.0	96000	0.774401875	56959.094	1.0	-0.9999958	-0.8697260131835938	0.06205967712402344	386.06510186195374
25	77.38232421875	71.9805	83.83912	72.20875	1000.0	94.64710693359375	146.28607	100.7928	90.54444	1000.0	100000	0.77953125	56218.06	1.0	-0.9999977	-0.8719884033203125	0.06182809448242187	401.79862117767334
26	73.34474182128906	171.24283	79.72791	62.61992	1000.0	97.18408813476563	405.75793	103.93942	83.489784	1000.0	104000	0.789349609375	52975.73	1.0	-0.99999815	-0.8792787475585937	0.059212051391601565	417.7624020576477
27	68.15137481689453	136.63757	76.51192	61.135254	1000.0	86.7681884765625	40.090107	89.92612	82.282974	1000.0	108000	0.79375515625	51622.24	1.0	-0.9999969	-0.881330322265625	0.05811801147460938	433.4078495502472
28	47.66697692871094	239.8299	56.864403	35.5081	1000.0	69.03012084960938	234.70154	76.616425	61.34401	1000.0	112000	0.801298046875	50039.4	1.0	-0.9999964	-0.8861422119140625	0.057982723236083986	449.00569677352905
29	67.1532211303711	220.0533	76.35655	58.5611	1000.0	71.94351196289062	76.64182	75.43285	66.65305	1000.0	116000	0.8042503125	48335.96	1.0	-0.9999976	-0.886958251953125	0.05641632461547851	465.0932149887085
30	-17.684173583984375	21458.31	57.135853	-106.26116	1000.0	69.83284912109374	40.760895	72.36576	65.62831	1000.0	120000	0.80031078125	49669.258	1.0	-0.9999978	-0.8810023803710938	0.055362770080566406	480.8291726112366
31	14.091133117675781	20895.438	63.484703	-110.25986	1000.0	-116.01871337890626	10.513999	-114.16833	-118.171715	1000.0	124000	0.791126796875	52218.57	1.0	-0.99999636	-0.8705067749023437	0.054100170135498046	497.15228939056396
32	23.677505493164062	15136.893	63.94189	-82.702576	1000.0	73.8123779296875	38.4432	77.5321	71.34693	1000.0	128000	0.778357890625	58769.24	1.0	-0.99999654	-0.8563248291015625	0.053641517639160155	513.2923009395599
33	55.37943649291992	195.63889	63.974453	47.725544	1000.0	68.53929443359375	53.306957	73.556656	64.79899	1000.0	132000	0.76519953125	69342.28	1.0	-0.9999977	-0.840257568359375	0.0540645637512207	529.5187296867371
34	-57.84178924560547	14094.422	41.94178	-112.141754	1000.0	-109.7317138671875	44672.754	90.2458	-136.54823	1000.0	136000	0.749055234375	80542.7	1.0	-0.99999726	-0.823169189453125	0.053196434020996095	545.4677369594574
35	-30.978809356689453	24589.691	41.16466	-148.45729	1000.0	-106.522265625	33236.605	66.37975	-128.11334	1000.0	140000	0.717447890625	103239.08	1.0	-0.99999917	-0.7885648193359375	0.05240399932861328	561.4788348674774
36	-43.78425598144531	27127.008	48.613667	-127.06052	1000.0	64.28502807617187	69.92882	69.13411	59.999588	1000.0	144000	0.68130984375	128095.86	1.0	-0.9999997	-0.748944091796875	0.05405379104614258	577.1992115974426
37	54.834747314453125	55.748074	58.023636	48.602726	1000.0	57.8998291015625	112.221466	64.05161	51.49836	1000.0	148000	0.68248796875	128107.734	1.0	-0.9999996	-0.7500121459960938	0.05338877868652344	593.3782289028168
38	48.949462890625	4.260296	50.666977	47.970604	1000.0	73.11801147460938	95.297516	77.42234	67.685974	1000.0	152000	0.6929478125	122375.39	1.0	-0.9999997	-0.7599974365234375	0.052400901794433595	609.447785615921
39	53.84955596923828	160.08406	59.530556	43.1352	1000.0	55.727685546875	38.079884	58.487694	51.84996	1000.0	156000	0.71919609375	101116.336	1.0	-0.99999964	-0.78975537109375	0.05118170166015625	625.9051971435547
40	50.771331787109375	195.39676	61.389866	41.995956	1000.0	51.420849609375	287.78568	58.68644	42.42709	1000.0	160000	0.76460546875	69386.13	1.0	-0.99999905	-0.8370052490234375	0.04935393524169922	641.8508794307709
