Epoch	AverageEpisode_Reward	StdEpisode_Reward	MaxEpisode_Reward	MinEpisode_Reward	Episode_Len	AverageTest_Episode_Reward	StdTest_Episode_Reward	MaxTest_Episode_Reward	MinTest_Episode_Reward	Test_Episode_Forward_Reward	Test_Episode_Ctrl_Cost	Test_Episode_Len	Test_Episode_Clip_Ratio	Total_Interactions	AverageAction_Value	StdAction_Value	MaxAction_Value	MinAction_Value	Actor_Loss	Critic_Loss	Time
15	55.94273376464844	244.34837	65.58048	44.030827	1000.0	59.7872802734375	167.93698	62.448013	47.857334	225.537451171875	-165.7501708984375	1000.0	0.0	60000	0.809766484375	50938.234	1.0	-1.0	-0.9045006103515625	0.044587394714355466	543.3550307750702
16	53.04118347167969	115.7507	59.007652	46.825626	1000.0	75.09910278320312	2.5490906	75.76228	74.45078	246.433349609375	-171.33426513671876	1000.0	0.0	64000	0.8183809375	47451.8	1.0	-1.0	-0.9091190795898437	0.04284064483642578	578.8911776542664
17	57.659423828125	87.886314	64.31876	52.139164	1000.0	68.01231689453125	27.03639	69.708275	63.996338	233.8488037109375	-165.83648681640625	1000.0	0.0	68000	0.82363875	46378.668	1.0	-1.0	-0.9084255981445313	0.04352980041503906	615.100891828537
18	52.70701599121094	37.622044	57.411003	49.548714	1000.0	63.55716552734375	19.682596	65.73435	61.415695	229.369140625	-165.8119873046875	1000.0	0.0	72000	0.831857578125	43225.582	1.0	-1.0	-0.9134884033203124	0.04050649261474609	653.218977689743
19	50.76378631591797	133.18146	56.286068	41.07895	1000.0	59.64810791015625	9.133087	61.04414	58.219078	229.190185546875	-169.54207763671874	1000.0	0.0	76000	0.837523515625	40987.727	1.0	-1.0	-0.9151712036132813	0.040392120361328124	692.6287240982056
20	42.384071350097656	128.545	45.998108	32.58528	1000.0	59.670587158203126	5.8131413	61.02916	58.735584	223.023583984375	-163.35299072265624	1000.0	0.0	80000	0.8399959375	40775.215	1.0	-1.0	-0.9143284912109375	0.03997103118896484	734.0958695411682
21	46.606483459472656	237.70709	53.44863	33.535812	1000.0	81.64423828125	16.25465	83.4124	79.535194	245.65693359375	-164.0127197265625	1000.0	0.0	84000	0.844946015625	37874.086	1.0	-1.0	-0.9183646240234375	0.03752254867553711	776.4197340011597
22	48.57752227783203	233.81221	59.013287	37.733486	1000.0	60.29512329101563	6.5371637	61.767517	58.400455	230.57421875	-170.2790771484375	1000.0	0.0	88000	0.84788546875	36863.492	1.0	-1.0	-0.917550537109375	0.03765349578857422	817.2519929409027
23	50.55459213256836	28.449532	54.044415	47.49684	1000.0	59.762200927734376	9.117954	61.176003	57.868576	229.7447998046875	-169.98258056640626	1000.0	0.0	92000	0.85149375	35380.5	1.0	-1.0	-0.9197744750976562	0.03600837707519531	857.1581728458405
24	53.15886688232422	137.86427	62.549423	46.520737	1000.0	64.87776489257813	22.279919	66.66417	62.154766	227.4476318359375	-162.56986083984376	1000.0	0.0	96000	0.85247484375	35026.36	1.0	-1.0	-0.918417236328125	0.036264183044433594	896.6179339885712
25	45.88550567626953	131.66777	51.84411	36.482162	1000.0	61.3595458984375	6.9928555	62.55643	59.711273	238.1693115234375	-176.80977783203124	1000.0	0.0	100000	0.855626484375	33972.645	1.0	-1.0	-0.9198496704101562	0.035242919921875	937.1559181213379
26	51.13945007324219	109.010345	55.04863	42.172768	1000.0	74.30562744140624	6.6540437	75.44106	72.97199	246.0419677734375	-171.7363525390625	1000.0	0.0	104000	0.8605690625	32045.836	1.0	-1.0	-0.9231102294921875	0.0343063735961914	978.4490640163422
