Epoch	AverageEpisode_Reward	StdEpisode_Reward	MaxEpisode_Reward	MinEpisode_Reward	Episode_Length	AverageValue_Estimate	StdValue_Estimate	MaxValue_Estimate	MinValue_Estimate	Total_Interaction	Loss_Policy	Loss_Value	Delta_Loss_Policy	Delta_Loss_Value	Entropy	KL_Divergence	Clip_Fraction	Early_Stop_Iter	Time
34	263.93333333333334	162246.95	473.0	147.0	263.93333333333334	76.3335625	5193.058	78.398094	71.386536	140000	2.3841859042583735e-10	800.7999877929688	-0.002110570902004838	-78.0655517578125	0.5591380000114441	0.0044877175241708755	0.014999999664723873	79.0	344.94664549827576
35	420.57142857142856	241291.72	789.0	156.0	420.57142857142856	70.9220625	33568.31	77.281364	55.933308	144000	-1.0848045128852846e-08	705.6392211914062	-0.003605762030929327	-129.0340576171875	0.5573022961616516	0.003190720221027732	0.03125	79.0	354.6026339530945
36	375.2	168487.6	603.0	208.0	375.2	79.1938125	970.1041	80.45474	76.96749	148000	-1.287460360543946e-08	661.1343383789062	-0.004260601010173559	-9.31005859375	0.5646467804908752	0.006942994426935911	0.05324999988079071	79.0	364.4078812599182
37	359.0	373304.0	924.0	226.0	359.0	77.2411328125	770.31055	78.607544	75.854904	152000	-1.0907649894420501e-08	682.9924926757812	-0.002862833207473159	-10.38958740234375	0.565703272819519	0.0031999428756535053	0.02775000035762787	79.0	375.1051902770996
38	449.8333333333333	141154.83	671.0	241.0	449.8333333333333	74.76234375	2612.0193	76.97548	72.65737	156000	1.5854835666573308e-08	601.261474609375	-0.005588296800851822	-83.355224609375	0.5648412108421326	0.004371174611151218	0.03424999862909317	79.0	385.97281217575073
39	480.5	384053.0	978.0	125.0	480.5	81.262390625	1163.0709	82.746735	79.06329	160000	3.4570692974966732e-09	460.7841796875	-0.004614016506820917	-65.16348266601562	0.5641978979110718	0.0027069863863289356	0.0044999998062849045	79.0	396.2834322452545
40	653.5	1104.5	677.0	630.0	653.5	86.9184921875	808.09546	88.26127	84.311066	164000	-1.6033649075097856e-08	268.9253845214844	-0.0016865088837221265	-47.11151123046875	0.5660711526870728	0.000809156452305615	0.001500000013038516	79.0	406.5099322795868
41	431.3333333333333	395261.3	970.0	210.0	431.3333333333333	91.909640625	417.25638	92.70534	90.75171	168000	-3.814697446813398e-09	567.5386962890625	-0.0015511979581788182	-36.635498046875	0.5632973313331604	0.00302863959223032	0.02250000089406967	79.0	416.60644602775574
42	492.5	4900.5	542.0	443.0	492.5	87.616171875	1228.2356	89.12864	85.92207	172000	-5.60283641704018e-09	260.8658752441406	-0.003766750916838646	-38.20989990234375	0.5643584728240967	0.004699261859059334	0.0364999994635582	79.0	426.4321618080139
43	548.8571428571429	312984.84	892.0	206.0	548.8571428571429	91.8701328125	588.61633	92.80119	90.20463	176000	1.2993812248396353e-08	649.3052978515625	-0.0024084611795842648	-70.71148681640625	0.568080484867096	0.004622221924364567	0.07000000029802322	79.0	436.1387195587158
44	435.55555555555554	337276.25	802.0	180.0	435.55555555555554	86.0940625	4675.752	89.23813	82.340775	180000	5.4836273299940785e-09	702.8364868164062	-0.00554167153313756	-50.85394287109375	0.5493946671485901	0.004106528591364622	0.0377499982714653	79.0	445.7656831741333
45	529.3333333333334	19274.666	588.0	416.0	529.3333333333334	80.802375	3653.7075	83.03499	75.41889	184000	-1.7821788489413848e-08	415.7635498046875	-0.003090285463258624	-97.20925903320312	0.557371199131012	0.0038150898180902004	0.029249999672174454	79.0	455.4327013492584
46	608.25	109604.75	798.0	343.0	608.25	87.71940625	814.01245	89.030464	85.98688	188000	1.4603138254187797e-08	390.869873046875	-0.005632578395307064	-3.2840576171875	0.5630717277526855	0.0039322334341704845	0.032249998301267624	79.0	465.05337619781494
47	459.25	181332.75	765.0	174.0	459.25	89.2180234375	387.76382	90.38243	88.241905	192000	6.318092271584419e-09	390.3722229003906	-0.0008753395522944629	-0.385650634765625	0.570662796497345	0.003453817218542099	0.010499999858438969	79.0	474.96648120880127
48	466.6	297241.22	841.0	187.0	466.6	89.5941875	464.66888	90.41605	88.42726	196000	8.82148754044465e-09	467.3550109863281	-0.005583017598837614	-3.30535888671875	0.5634281039237976	0.003820938989520073	0.023499999195337296	79.0	484.7558903694153
49	477.8333333333333	203850.83	749.0	226.0	477.8333333333333	88.2764375	407.08594	89.06165	86.76202	200000	1.3709068324985196e-09	527.8947143554688	-0.0024374269414693117	-9.5655517578125	0.570398211479187	0.004683095961809158	0.024250000715255737	79.0	494.3197317123413
