Epoch	AverageEpisode_Reward	StdEpisode_Reward	MaxEpisode_Reward	MinEpisode_Reward	Episode_Len	AverageTest_Episode_Reward	StdTest_Episode_Reward	MaxTest_Episode_Reward	MinTest_Episode_Reward	Test_Episode_Len	Total_Interactions	AverageAction_Value	StdAction_Value	MaxAction_Value	MinAction_Value	Actor_Loss	Critic_Loss	Time
1	-218.541748046875	17373.992	-125.71455	-311.07916	1000.0	-5370.946484375	17.407589	-5368.5806	-5372.609	10001.0	4000	0.5873483854166667	64616.41	0.99999917	-0.9834001	-0.945260009765625	0.18456453450520832	33.38273859024048
2	-322.8051452636719	8976.796	-268.46417	-379.7416	1000.0	-5187.140234375	87.46125	-5180.985	-5191.226	10001.0	8000	0.5548873046875	105416.79	1.0	-0.9997891	-0.9358583374023437	0.14284878540039062	69.99919247627258
3	-344.0047607421875	34551.598	-258.79108	-482.57434	1000.0	-4059.3359375	684.0201	-4041.729	-4071.7468	10001.0	12000	0.3486773828125	184438.47	1.0	-1.0	-0.6791024169921875	0.17230990600585938	105.95817875862122
4	-291.58709716796875	19486.24	-219.56859	-405.72888	1000.0	-3133.8958984375	9705082.0	-178.48016	-3466.7014	10001.0	16000	0.007004981689453125	252907.08	1.0	-1.0	-0.28977728271484376	0.20590484619140625	142.7481245994568
5	-286.97198486328125	20255.883	-192.97464	-382.40558	1000.0	-2272.9	153.61935	-2265.9468	-2280.873	10001.0	20000	0.23882251953125	211616.2	0.99999994	-0.9999965	-0.5410841064453125	0.1334442596435547	178.5286591053009
6	-362.4989013671875	3395.0635	-336.51846	-411.92404	1000.0	-3943.458984375	129.94157	-3936.1853	-3947.636	10001.0	24000	0.048546376953125	260132.78	1.0	-0.9999983	-0.29834222412109374	0.14357070922851561	217.33340573310852
7	-340.9978332519531	556.7628	-323.59555	-356.6514	1000.0	-3351.0796875	400.59348	-3345.1365	-3364.268	10001.0	28000	-0.095492734375	280273.8	1.0	-0.999999	-0.11534242248535156	0.14369798278808593	253.5269787311554
8	-310.33709716796875	833.97034	-292.23474	-327.40118	1000.0	-3616.901171875	9407.544	-3525.5657	-3633.6855	10001.0	32000	-0.20881125	282705.97	1.0	-0.999999	0.026133777618408204	0.14414535522460936	290.544508934021
9	-294.71209716796875	53038.406	-95.98588	-372.59363	1000.0	-4239.648828125	1329.3429	-4221.2876	-4256.152	10001.0	36000	-0.27352810546875	276962.16	1.0	-0.999999	0.11432965850830078	0.15243185424804687	325.95335125923157
10	-414.63446044921875	3047.2202	-378.87848	-442.30963	1000.0	-3683.096484375	250.1439	-3676.7058	-3694.6455	10001.0	40000	-0.3340521875	272162.53	1.0	-0.99999917	0.18701083374023436	0.15634414672851563	360.63830518722534
11	-336.5970153808594	621.01	-320.78268	-351.61124	1000.0	-4300.06015625	138.34535	-4294.1094	-4308.5386	10001.0	44000	-0.3908338671875	265179.38	1.0	-0.99999917	0.26027874755859376	0.15764610290527345	395.17063093185425
12	-387.15576171875	1426.2405	-357.65942	-408.27444	1000.0	-4542.253515625	257.12375	-4529.526	-4546.237	10001.0	48000	-0.4378330078125	256100.73	1.0	-0.99999905	0.3178411865234375	0.1567367248535156	430.0473220348358
13	-440.2320861816406	4744.0474	-407.55475	-496.48483	1000.0	-4215.516796875	130734.89	-4148.691	-4525.0957	10001.0	52000	-0.483362109375	244593.97	1.0	-0.999999	0.37447906494140626	0.16110894775390625	465.89595246315
14	-392.4613037109375	1834.6272	-363.02936	-423.4135	1000.0	-4059.2421875	239.55579	-4047.7788	-4064.7583	10001.0	56000	-0.52230421875	233655.42	1.0	-0.9999993	0.42206182861328123	0.1675037841796875	501.5605683326721
