Epoch	AverageEpisode_Reward	StdEpisode_Reward	MaxEpisode_Reward	MinEpisode_Reward	Episode_Length	AverageValue_Estimate	StdValue_Estimate	MaxValue_Estimate	MinValue_Estimate	Total_Interaction	Loss_Policy	Loss_Value	Delta_Loss_Policy	Delta_Loss_Value	Entropy	KL_Divergence	Clip_Fraction	Early_Stop_Iter	Time
0	-555.5574951171875	48617.34	-404.5186	-710.9067	1000.0	0.028489480972290038	236.6177	0.79502773	-0.82473075	4000	-2.491474226928858e-08	3224.027587890625	-0.05525343492627144	-111.05615234375	0.9189386367797852	0.011416069231927395	0.25	79.0	9.85910964012146
1	-444.288818359375	52937.906	-304.63696	-572.20514	1000.0	-1.644327392578125	2348.9438	1.5684265	-3.9351459	8000	-5.561113525232031e-08	2107.71435546875	-0.016148686408996582	-471.9459228515625	0.9177956581115723	0.014163309708237648	0.19474999606609344	10.0	19.38299036026001
2	-347.0456237792969	5747.7876	-316.83984	-411.68027	1000.0	-9.51646484375	28456.236	3.1906662	-12.874824	12000	-2.717971803178898e-08	600.02783203125	-0.05261257290840149	-261.26800537109375	0.917500913143158	0.014837009832262993	0.25325000286102295	71.0	29.018598079681396
3	-439.943603515625	3875.407	-414.3472	-492.64236	1000.0	-12.526763671875	109204.37	3.4716456	-20.167902	16000	6.103515914901436e-08	1150.8489990234375	-0.05569038540124893	-327.3499755859375	0.9071646928787231	0.010913489386439323	0.26225000619888306	79.0	38.780846118927
4	-474.4893798828125	105408.16	-314.01205	-673.11316	1000.0	-18.949220703125	135955.53	7.3884583	-27.563292	20000	-5.269050618039728e-08	1319.9556884765625	-0.04578998312354088	-270.45849609375	0.9045200347900391	0.014933663420379162	0.21375000476837158	45.0	48.31020450592041
5	-308.7973327636719	36346.203	-153.02953	-391.03616	1000.0	-28.4701875	145839.38	2.1972456	-33.921932	24000	5.900859800789249e-09	356.552001953125	-0.015980787575244904	-6.390472412109375	0.897358238697052	0.014902425929903984	0.2212499976158142	11.0	57.67512774467468
6	-432.79705810546875	33737.797	-280.84503	-524.6152	1000.0	-25.920986328125	150826.97	17.335339	-34.43159	28000	-1.847744002247964e-08	684.4825439453125	-0.05613455921411514	-119.96588134765625	0.8953649997711182	0.010013452731072903	0.2709999978542328	79.0	67.37245202064514
7	-297.8741455078125	436.89233	-279.99756	-306.47607	1000.0	-35.101546875	93519.695	-9.368134	-38.65389	32000	1.2636184543168838e-08	124.29763793945312	-0.05461876094341278	-24.176292419433594	0.8907633423805237	0.011104747653007507	0.2824999988079071	79.0	77.17979550361633
8	-412.9787292480469	12627.177	-316.06226	-451.38425	1000.0	-27.90745703125	111670.72	-7.540336	-36.966927	36000	-2.145767119543507e-09	571.0042724609375	-0.01497047208249569	-130.589111328125	0.888185977935791	0.014646535739302635	0.1912499964237213	8.0	86.88363885879517
9	-458.34619140625	24901.059	-389.1497	-583.16315	1000.0	-34.5456484375	112355.8	-10.4335575	-40.884556	40000	2.676248556099381e-08	607.3524780273438	-0.058203406631946564	-58.92156982421875	0.8886895179748535	0.014918659813702106	0.29350000619888306	69.0	96.82875442504883
