Epoch	AverageEpisode_Reward	StdEpisode_Reward	MaxEpisode_Reward	MinEpisode_Reward	Episode_Len	AverageTest_Episode_Reward	StdTest_Episode_Reward	MaxTest_Episode_Reward	MinTest_Episode_Reward	Test_Episode_Forward_Reward	Test_Episode_Ctrl_Cost	Test_Episode_Len	Test_Episode_Clip_Ratio	Total_Interactions	AverageAction_Value	StdAction_Value	MaxAction_Value	MinAction_Value	Actor_Loss	Critic_Loss	Time
1	-258.8667297363281	8160.734	-207.50331	-331.60446	1000.0	-490.96103515625	9.290688	-489.08994	-492.52203	6.810389709472656	-497.77138671875	1000.0	0.0	4000	0.3953480729166667	106122.75	1.0	-0.99999076	-0.8078343098958334	0.1428902791341146	32.50208258628845
2	-213.3873291015625	3631.7725	-177.19582	-259.72882	1000.0	156.99390869140626	18743.703	211.20346	77.41406	592.65986328125	-435.66591796875	1000.0	0.0	8000	0.5780753515625	102358.34	1.0	-0.9982897	-0.9490858154296875	0.11840055847167968	73.34480476379395
3	-148.38568115234375	102182.29	56.779472	-378.56754	1000.0	-129.54097900390624	37006.36	-89.147026	-254.22983	50.03495483398437	-179.57593994140626	1000.0	0.0	12000	0.5553794140625	107195.69	1.0	-0.9999962	-0.8981551513671875	0.11208146667480469	114.5210382938385
4	108.1017074584961	2869.782	153.50009	88.1495	1000.0	131.58846435546874	66.162636	135.95941	127.16659	345.305712890625	-213.717236328125	1000.0	0.0	16000	0.507211875	122756.04	1.0	-1.0	-0.7812368774414062	0.10577254486083984	151.3421859741211
5	30.214834213256836	26398.602	88.63381	-109.923195	1000.0	96.17424926757812	260.261	105.43728	85.55164	283.87236328125	-187.698095703125	1000.0	0.0	20000	0.6380441015625	95390.75	1.0	-1.0	-0.866345458984375	0.08520841217041016	187.157208442688
6	78.77852630615234	356.38068	87.99901	63.04662	1000.0	106.606201171875	53.466015	109.04147	101.04894	304.75986328125	-198.15364990234374	1000.0	0.0	24000	0.678641953125	87242.95	1.0	-1.0	-0.8757647094726563	0.07550660705566406	225.84762287139893
7	87.79084014892578	68.65038	94.04329	82.400444	1000.0	107.2954833984375	117.262344	114.265884	102.3775	285.2471435546875	-177.95166015625	1000.0	0.0	28000	0.72345203125	75127.445	1.0	-1.0	-0.8927008666992188	0.06750334167480469	264.3866057395935
8	77.3321533203125	448.43756	95.231415	67.81009	1000.0	62.11861572265625	214.2918	68.586136	51.656303	243.3722412109375	-181.25360107421875	1000.0	0.0	32000	0.751548046875	68690.32	1.0	-1.0	-0.899644775390625	0.06266640090942383	300.99505615234375
9	59.50804138183594	498.48502	74.023674	45.993504	1000.0	81.22041015625	108.32262	84.6654	73.7872	249.6824462890625	-168.4620361328125	1000.0	0.0	36000	0.772915	63166.246	1.0	-1.0	-0.9038428955078125	0.06057457733154297	337.5652663707733
10	58.107357025146484	94.65666	64.02056	52.074955	1000.0	85.56605224609375	43.657772	88.728065	82.3285	261.7743896484375	-176.208349609375	1000.0	0.0	40000	0.78847875	59375.97	1.0	-1.0	-0.907074951171875	0.05747164535522461	374.190310716629
11	58.49209213256836	263.57327	69.74331	49.396645	1000.0	98.5426025390625	65.62027	103.33109	94.62464	273.4325439453125	-174.88992919921876	1000.0	0.0	44000	0.804265625	53856.633	1.0	-1.0	-0.9132202758789062	0.05432305908203125	410.04854345321655
12	48.44894027709961	55.196404	54.185154	43.949924	1000.0	69.00255126953125	43.04375	73.5715	65.39454	240.4997314453125	-171.49716796875	1000.0	0.0	48000	0.8171325	49304.336	1.0	-1.0	-0.9183892822265625	0.05063603210449219	445.6172823905945
13	45.68475341796875	33.663296	48.54905	41.704025	1000.0	84.25233154296875	123.87984	91.3221	79.68383	256.566650390625	-172.3142822265625	1000.0	0.0	52000	0.82777171875	45278.477	1.0	-1.0	-0.9218507080078125	0.04754777908325195	483.3876860141754
