Epoch	AverageEpisode_Reward	StdEpisode_Reward	MaxEpisode_Reward	MinEpisode_Reward	Episode_Length	AverageValue_Estimate	StdValue_Estimate	MaxValue_Estimate	MinValue_Estimate	Total_Interaction	Loss_Policy	Loss_Value	Delta_Loss_Policy	Delta_Loss_Value	Entropy	KL_Divergence	Clip_Fraction	Early_Stop_Iter	Time
10	-289.3638916015625	2166.0354	-262.1466	-325.71878	1000.0	-34.7025	70472.6	-13.597364	-37.313046	44000	-1.0609626954760643e-08	130.5531463623047	-0.018242493271827698	-24.00269317626953	0.8515299558639526	0.014915047213435173	0.2567499876022339	10.0	107.96414637565613
11	-283.2814025878906	12489.703	-210.51863	-366.79257	1000.0	-30.928515625	72774.85	-10.400729	-35.29382	48000	1.3828277189986693e-08	179.49378967285156	-0.05430013686418533	-5.5045623779296875	0.8502330780029297	0.014465322718024254	0.2919999957084656	79.0	118.45110750198364
12	-246.87939453125	7937.9243	-181.30685	-303.37173	1000.0	-29.24410546875	68816.445	-13.4136715	-33.97321	52000	-1.8119811429073707e-08	121.66000366210938	-0.016171284019947052	-19.388465881347656	0.8369964361190796	0.014674823731184006	0.21850000321865082	9.0	128.44495463371277
13	-268.69873046875	19213.55	-183.43846	-375.69345	1000.0	-25.084826171875	60029.965	-10.047053	-31.533546	56000	2.9802322831784522e-09	256.1851806640625	-0.011871818453073502	-2.8589019775390625	0.8353893160820007	0.014753200113773346	0.22425000369548798	9.0	137.9567210674286
14	-188.92501831054688	20006.531	-99.405914	-288.629	1000.0	-26.161740234375	49109.08	-11.781512	-31.61128	60000	-1.0490417423625331e-08	216.31805419921875	-0.05491499602794647	-41.06336975097656	0.8338273167610168	0.014968021772801876	0.2887499928474426	69.0	147.99364733695984
15	-226.34634399414062	9378.418	-170.81677	-295.62012	1000.0	-20.59964453125	37514.773	-10.548149	-27.606094	64000	-2.3841859042583735e-10	157.1295928955078	-0.05028045177459717	-5.2059173583984375	0.8272642493247986	0.01496170274913311	0.24824999272823334	59.0	158.32362008094788
16	-215.03411865234375	16191.226	-157.70673	-312.7414	1000.0	-22.614416015625	22269.363	-10.611762	-28.373587	68000	-2.145767119543507e-09	119.63834381103516	-0.04515063390135765	-1.6045684814453125	0.8240939378738403	0.014874951913952827	0.21574999392032623	37.0	168.406920671463
17	-255.906005859375	12461.634	-182.09796	-326.5541	1000.0	-20.8285859375	32546.244	-10.93172	-28.102406	72000	1.555681272691345e-08	286.65191650390625	-0.015199574641883373	-23.27874755859375	0.8206309676170349	0.014022337272763252	0.16899999976158142	8.0	178.19104528427124
18	-247.67515563964844	964.86884	-227.07599	-270.42764	1000.0	-25.02646875	25793.1	-7.5555043	-30.32899	76000	-6.675720420901143e-09	109.68141174316406	-0.013444396667182446	-2.5367889404296875	0.8195829391479492	0.014719164930284023	0.2122499942779541	9.0	188.3535008430481
19	-192.27923583984375	5689.565	-130.31989	-231.20622	1000.0	-26.268814453125	13863.153	-15.07062	-30.462519	80000	2.0265580324974053e-09	100.6674575805664	-0.01251216046512127	-26.31407928466797	0.8174580931663513	0.01403819676488638	0.15449999272823334	7.0	198.134920835495
20	-183.29031372070312	8229.406	-110.20134	-231.04736	1000.0	-21.87513671875	12694.146	-13.90444	-27.49311	84000	-2.789497344224401e-08	69.53485870361328	-0.015536081045866013	-7.0395050048828125	0.8156219124794006	0.014598226174712181	0.24400000274181366	9.0	207.81851816177368
21	-263.130859375	53890.527	-193.48738	-464.11868	1000.0	-19.235013671875	12043.084	-10.977714	-25.693619	88000	-1.8239020960209018e-08	285.0517578125	-0.013457782566547394	-35.824798583984375	0.8128385543823242	0.011990012601017952	0.13175000250339508	7.0	217.252760887146
22	-211.3744659423828	13876.34	-148.72656	-302.74716	1000.0	-23.73775	21583.922	-13.578503	-28.938175	92000	-4.649162388403738e-09	132.22796630859375	-0.011819892562925816	-11.713455200195312	0.8106278777122498	0.013285225257277489	0.17274999618530273	7.0	226.8363847732544
23	-182.44593811035156	19153.998	-111.14603	-290.28568	1000.0	-21.57271484375	9800.135	-13.19075	-27.097836	96000	5.9604645663569045e-09	132.85577392578125	-0.03987232968211174	-9.430923461914062	0.8083404898643494	0.014844467863440514	0.1912499964237213	33.0	236.65228033065796
24	-182.41921997070312	61593.176	-104.33442	-397.23325	1000.0	-19.093548828125	8001.538	-13.051943	-25.347702	100000	1.9401312556510675e-08	258.800048828125	-0.0506516695022583	-0.90716552734375	0.8003427982330322	0.014986212365329266	0.2562499940395355	62.0	246.33611750602722
25	-173.88760375976562	2892.8228	-129.56053	-200.05339	1000.0	-18.52375390625	6411.7544	-12.766879	-23.897362	104000	-1.7285346487483366e-09	79.32899475097656	-0.050284385681152344	-4.597007751464844	0.7963040471076965	0.014872417785227299	0.26100000739097595	56.0	255.9093120098114
26	-147.23944091796875	23891.771	-77.407394	-268.67926	1000.0	-16.694125	6635.276	-11.216182	-21.890778	108000	1.2278556837941323e-08	187.1688690185547	-0.05803941562771797	-1.7649688720703125	0.7878400683403015	0.014372334815561771	0.2942500114440918	79.0	265.64204597473145
27	-95.99876403808594	1977.877	-62.60567	-125.032005	1000.0	-15.873833984375	5051.549	-11.83755	-20.979118	112000	4.76837147544984e-09	109.2284927368164	-0.014355475082993507	-26.627487182617188	0.7798784971237183	0.013391607441008091	0.18975000083446503	8.0	275.0256915092468
28	-81.03968811035156	4017.3901	-31.501072	-119.77099	1000.0	-10.95618359375	9776.663	-4.985222	-18.556185	116000	6.675720420901143e-09	110.80099487304688	-0.013786573894321918	-7.227569580078125	0.7786524891853333	0.011991885490715504	0.12800000607967377	7.0	284.47340416908264
29	-56.3032341003418	4530.1577	-23.75721	-108.42963	1000.0	-8.3379521484375	10230.285	-3.1836488	-17.517714	120000	2.2664666587957072e-08	60.39421463012695	-0.010108874179422855	-5.043632507324219	0.7769850492477417	0.014672004617750645	0.16574999690055847	6.0	293.88757038116455
30	-60.09754943847656	2524.3972	-31.4364	-91.137924	1000.0	-6.547333984375	10578.842	-1.5879456	-16.981451	124000	-2.145767119543507e-09	101.9967041015625	-0.03861236199736595	-1.9319229125976562	0.7751168608665466	0.014691743068397045	0.19349999725818634	33.0	303.3689751625061
31	-81.66555786132812	8932.25	-40.958153	-162.02452	1000.0	-5.60238623046875	9219.514	-1.0140269	-16.350132	128000	1.3113021779531664e-09	209.58827209472656	-0.043577127158641815	-4.890899658203125	0.7715957164764404	0.014929710887372494	0.23125000298023224	37.0	312.91374015808105
32	-53.83548355102539	2792.7512	-10.96629	-76.30759	1000.0	-7.53887646484375	6347.492	-3.2433505	-16.56642	132000	-3.3378602104505717e-09	100.05948638916016	-0.016018973663449287	-5.067100524902344	0.763178288936615	0.014884252101182938	0.18400000035762787	11.0	322.3834993839264
33	-22.02427101135254	16227.06	75.03399	-99.748505	1000.0	-5.8294580078125	11087.151	-1.3437543	-16.042948	136000	-1.2397766369076635e-08	92.12631225585938	-0.013648451305925846	-8.148330688476562	0.7608998417854309	0.012779212556779385	0.1262499988079071	8.0	331.9348142147064
34	-16.965747833251953	13421.897	44.800262	-104.451225	1000.0	-3.308000732421875	7562.621	0.46757805	-15.053686	140000	-9.536743617033494e-10	119.92742156982422	-0.012747523374855518	-3.4268112182617188	0.7583696842193604	0.012636926025152206	0.1080000028014183	7.0	341.2871904373169
35	-26.056442260742188	7614.9604	28.93003	-85.75204	1000.0	-1.7408267822265624	7910.472	2.2766151	-14.006446	144000	1.7762184612024612e-08	132.66236877441406	-0.010595463216304779	-0.482666015625	0.7559354901313782	0.013845950365066528	0.2162500023841858	7.0	350.7116663455963
36	-6.6265459060668945	11251.967	51.747986	-89.36585	1000.0	-1.95404833984375	6304.3613	1.5119506	-13.634507	148000	-1.245737113464429e-08	209.8092498779297	-0.05335412174463272	-7.796295166015625	0.7536574602127075	0.013629090040922165	0.2852500081062317	79.0	360.6905674934387
37	-61.72327423095703	45147.54	12.44187	-245.21626	1000.0	-0.06362432861328125	10676.743	5.0322375	-12.557954	152000	-5.006790093631253e-09	504.70013427734375	-0.04530388116836548	-30.159637451171875	0.7454786896705627	0.014934374019503593	0.23350000381469727	46.0	370.5203537940979
38	58.358001708984375	129.79446	64.8034	49.301	1000.0	-5.22688818359375	7769.495	0.6111584	-14.038129	156000	1.1980533898281465e-08	153.9624786376953	-0.04952001944184303	-84.9047622680664	0.7389699816703796	0.014900045469403267	0.24574999511241913	47.0	380.138147354126
39	44.485755920410156	19821.564	99.50784	-75.987946	1000.0	2.53804345703125	14337.279	6.3428717	-11.502917	160000	1.6748904485552885e-08	152.6273193359375	-0.03775469958782196	-2.0527801513671875	0.7300300002098083	0.014746190048754215	0.19824999570846558	27.0	389.67237877845764
40	32.941871643066406	13315.219	93.01213	-60.4693	1000.0	3.177720703125	12100.566	6.3698034	-11.044178	164000	9.775162013170302e-09	206.3875732421875	-0.05067979171872139	-0.581939697265625	0.7244939804077148	0.014898133464157581	0.2605000138282776	64.0	399.3559627532959
41	-46.67060089111328	65470.805	139.6237	-212.61128	1000.0	2.7382646484375	12940.389	6.135782	-10.478387	168000	-6.556510889765832e-10	428.091064453125	-0.04932356998324394	-28.7589111328125	0.7205770015716553	0.014933930709958076	0.26124998927116394	54.0	408.9786922931671
42	-110.03231811523438	71673.29	6.2842784	-331.2021	1000.0	-1.0912135009765624	8230.793	2.7799535	-12.007434	172000	-2.032518331418487e-08	561.02001953125	-0.057897843420505524	-48.4002685546875	0.7123481631278992	0.014405209571123123	0.3019999861717224	79.0	418.89502120018005
43	5.751531600952148	4131.5483	53.26876	-37.145847	1000.0	-6.0999345703125	7291.4775	-1.4189763	-14.394388	176000	1.4960765071236892e-08	241.11431884765625	-0.056875456124544144	-57.34519958496094	0.7124453783035278	0.0139699662104249	0.3095000088214874	79.0	428.70157623291016
44	102.24359130859375	17038.613	184.5435	2.0063808	1000.0	-0.6685718994140625	7067.5303	2.822418	-11.735762	180000	-1.0132790162487026e-09	236.88861083984375	-0.04694461449980736	-82.71199035644531	0.7007083892822266	0.014697238802909851	0.24300000071525574	37.0	438.3112561702728
45	70.39549255371094	42644.93	172.04443	-67.05623	1000.0	4.54181884765625	14289.305	7.9480476	-8.801672	184000	-1.8537043899868877e-08	213.9299774169922	-0.012911601923406124	-5.1169281005859375	0.6936782002449036	0.013189590536057949	0.1782499998807907	8.0	448.0121591091156
46	-88.0830078125	122915.09	132.75014	-263.82593	1000.0	4.622525390625	16862.371	8.539903	-7.199498	188000	1.931190496406998e-08	898.734375	-0.060342494398355484	-115.43634033203125	0.6922491788864136	0.012942549772560596	0.3034999966621399	79.0	457.9186110496521
47	41.70250701904297	29217.91	165.075	-76.15769	1000.0	-0.3117772216796875	16916.914	5.2287264	-10.383134	192000	9.179115245672165e-09	309.6664123535156	-0.059010863304138184	-16.444000244140625	0.6828359365463257	0.013463018462061882	0.3070000112056732	79.0	467.6814875602722
48	25.385948181152344	38933.207	135.00938	-134.45103	1000.0	1.409406982421875	12310.414	8.454396	-10.707817	196000	1.4305114870438729e-09	326.5015563964844	-0.05732903629541397	-2.916839599609375	0.6738274693489075	0.014224279671907425	0.2955000102519989	79.0	477.4311668872833
49	112.96011352539062	27622.043	200.51875	-8.221851	1000.0	2.26993408203125	10279.005	7.208211	-8.761928	200000	-5.4836273299940785e-09	228.1948699951172	-0.03578927367925644	-46.72200012207031	0.6695073246955872	0.014887596480548382	0.1704999953508377	27.0	487.0580348968506
