Epoch	AverageEpisode_Reward	StdEpisode_Reward	MaxEpisode_Reward	MinEpisode_Reward	Episode_Length	AverageValue_Estimate	StdValue_Estimate	MaxValue_Estimate	MinValue_Estimate	Total_Interaction	Loss_Policy	Loss_Value	Delta_Loss_Policy	Delta_Loss_Value	Entropy	KL_Divergence	Clip_Fraction	Early_Stop_Iter	Time
0	23.933734939759034	25708.271	73.0	9.0	23.933734939759034	-0.028367965698242188	2.1343217	0.10993845	-0.14633395	4000	3.3378602104505717e-09	293.4611511230469	-0.014599773101508617	-43.3370361328125	0.6882830858230591	0.009042464196681976	0.07649999856948853	79.0	9.941030502319336
1	30.837209302325583	43423.58	100.0	9.0	30.837209302325583	1.60700146484375	895.46173	2.5676138	-0.05178444	8000	1.3184546787670115e-07	442.77294921875	-0.012160724960267544	-85.5106201171875	0.6783507466316223	0.004880933091044426	0.04675000160932541	79.0	19.876289129257202
2	36.22727272727273	46815.32	110.0	11.0	36.22727272727273	4.49113037109375	1033.4891	5.55744	2.439535	12000	1.1730194415804363e-07	447.1409606933594	-0.011636927723884583	-117.79644775390625	0.6622288823127747	0.005270096007734537	0.035750001668930054	79.0	29.696184396743774
3	48.839506172839506	74538.914	158.0	13.0	48.839506172839506	8.341052734375	8793.223	12.481972	-0.75180984	16000	1.907348723406699e-09	653.5750122070312	-0.013342155143618584	-184.72738647460938	0.6492017507553101	0.006269461940973997	0.051500000059604645	79.0	39.58010649681091
4	81.28571428571429	113910.0	207.0	15.0	81.28571428571429	14.3302939453125	1317.6926	15.8248005	11.524455	20000	1.275539407430415e-08	1047.6036376953125	-0.011613135226070881	-308.80072021484375	0.6394375562667847	0.004311464261263609	0.0377499982714653	79.0	49.368582248687744
5	101.84615384615384	135985.08	248.0	16.0	101.84615384615384	22.343146484375	780.9921	23.469677	19.87995	24000	5.424022830879949e-08	1021.6199340820312	-0.007994215004146099	-259.91900634765625	0.6258847117424011	0.007636681664735079	0.03350000083446503	79.0	59.70795249938965
6	93.04761904761905	126755.91	228.0	13.0	93.04761904761905	29.784765625	2314.269	32.37748	26.788425	28000	2.7000904623264432e-08	683.7903442382812	-0.010994152165949345	-96.83074951171875	0.6225793957710266	0.014966373331844807	0.1289999932050705	21.0	70.33791828155518
7	132.63333333333333	122270.96	236.0	18.0	132.63333333333333	33.9330546875	31538.246	41.2529	23.90961	32000	-8.940697071579962e-09	854.6680297851562	-0.00958506390452385	-163.52740478515625	0.61665940284729	0.0034666811116039753	0.03824999928474426	79.0	80.8229308128357
8	204.68421052631578	135290.11	381.0	84.0	204.68421052631578	40.24782421875	621.5601	41.45469	38.75305	36000	-5.2571298425618807e-08	1077.3658447265625	-0.006444790866225958	-248.01513671875	0.6162303686141968	0.011287175118923187	0.052000001072883606	79.0	93.1392343044281
9	129.23333333333332	81303.37	306.0	28.0	129.23333333333332	47.75397265625	558.031	48.87211	46.386906	40000	-5.60283641704018e-09	553.8262329101562	-0.009077406488358974	0.20550537109375	0.6072399616241455	0.009070293046534061	0.05299999937415123	79.0	104.57737612724304
10	158.0	188832.0	381.0	27.0	158.0	48.46744921875	705.97266	49.766422	46.97873	44000	1.7404556018618678e-08	748.02783203125	-0.007205476053059101	-29.0711669921875	0.6080572605133057	0.0032583686988800764	0.027499999850988388	79.0	115.77384424209595
