Epoch	AverageEpisode_Reward	StdEpisode_Reward	MaxEpisode_Reward	MinEpisode_Reward	Episode_Len	AverageTest_Episode_Reward	StdTest_Episode_Reward	MaxTest_Episode_Reward	MinTest_Episode_Reward	Test_Episode_Len	Total_Interactions	AverageAction_Value	StdAction_Value	MaxAction_Value	MinAction_Value	Actor_Loss	Critic_Loss	Time
1	-316.9364013671875	8798.751	-249.01936	-374.48105	1000.0	-581.053955078125	13.8678055	-579.3073	-583.0867	1000.0	4000	0.398260546875	110687.37	1.0	-0.99956864	-0.8746943359375	0.13917161051432292	32.46296763420105
2	-294.1069030761719	34315.027	-159.48679	-384.89084	1000.0	-522.66962890625	7.9914403	-520.9875	-523.8172	1000.0	8000	0.4431801953125	151291.44	1.0	-0.9999989	-0.8276168823242187	0.14366326904296875	70.70135760307312
3	-317.3758544921875	34516.0	-182.92621	-424.57516	1000.0	-147.98714599609374	7439.832	-109.40967	-191.85251	1000.0	12000	0.4544725	144244.94	1.0	-1.0	-0.8566104736328125	0.1340179901123047	107.39476418495178
4	84.80043029785156	54051.758	206.01976	-99.53431	1000.0	96.43126220703125	1028.9303	113.99339	77.45165	1000.0	16000	0.3685551171875	170765.6	1.0	-1.0	-0.7099266357421875	0.13656494140625	144.6295256614685
5	72.95960235595703	132.27797	77.757774	63.66328	1000.0	56.71279296875	3889.311	77.99076	3.0456378	1000.0	20000	0.537681171875	134500.84	1.0	-1.0	-0.8294642333984374	0.1084386978149414	182.9650707244873
6	69.61466217041016	468.10986	85.88788	59.002163	1000.0	93.16371459960938	32090.09	134.444	-63.50174	1000.0	24000	0.6280505859375	111164.35	1.0	-1.0	-0.8740550537109375	0.09232547760009766	219.5150671005249
7	65.64036560058594	1578.0132	95.61493	39.798454	1000.0	22.64442138671875	61921.758	108.49435	-181.02272	1000.0	28000	0.68194421875	97327.875	1.0	-1.0	-0.8925958251953126	0.08323219299316406	255.63000774383545
8	85.66304016113281	545.7401	105.85809	77.81751	1000.0	113.58642578125	3989.3657	123.69728	53.999554	1000.0	32000	0.71809296875	89135.516	1.0	-1.0	-0.9045771484375	0.07755345153808593	293.3926148414612
9	90.53083801269531	474.5567	109.11786	81.74946	1000.0	101.76430053710938	55012.74	131.40874	-120.568054	1000.0	36000	0.74974890625	79645.086	1.0	-1.0	-0.9169032592773437	0.07124111938476563	330.56096053123474
10	77.83623504638672	136.1266	84.42286	70.95625	1000.0	114.09892578125	164.30362	123.76407	110.10985	1000.0	40000	0.769176484375	74506.49	1.0	-1.0	-0.92164794921875	0.06758365631103516	370.0552146434784
11	76.35404968261719	527.76196	94.74468	63.727844	1000.0	97.7789794921875	79.100624	101.358376	93.13737	1000.0	44000	0.7913546875	66424.79	1.0	-1.0	-0.928996337890625	0.06357515716552735	406.7363305091858
12	83.31103515625	298.5302	97.71626	74.78913	1000.0	97.66603393554688	159.34143	104.31976	92.19545	1000.0	48000	0.803629765625	61623.527	1.0	-1.0	-0.93231396484375	0.05894920349121094	443.52814745903015
13	6.149280548095703	54817.92	78.694145	-196.5438	1000.0	80.35673217773437	113.13295	85.60767	75.15106	1000.0	52000	0.807183125	61490.61	1.0	-1.0	-0.926363037109375	0.05719518280029297	480.42906880378723
14	83.19160461425781	252.54665	95.58762	73.62184	1000.0	87.16116943359376	190498.19	162.05974	-190.17181	1000.0	56000	0.808818359375	59679.19	1.0	-1.0	-0.9241808471679688	0.056081634521484375	520.1872940063477
15	23.46634864807129	31449.479	85.80259	-129.64043	1000.0	7.262431335449219	64026.58	132.42973	-53.468227	1000.0	60000	0.818017265625	55155.45	1.0	-1.0	-0.9265236206054688	0.053564929962158205	558.2400460243225
16	55.536476135253906	5053.3623	79.94723	-5.707445	1000.0	36.7396240234375	60344.637	78.021385	-123.83779	1000.0	64000	0.8082359375	57759.598	1.0	-1.0	-0.91409375	0.051775093078613284	597.8681173324585
17	73.61578369140625	140.66487	82.40338	66.087524	1000.0	69.54569091796876	139.14226	74.70922	62.69408	1000.0	68000	0.824389375	50928.625	1.0	-1.0	-0.92444921875	0.050268596649169925	638.579240322113
18	56.94550323486328	2718.2954	82.53554	21.528727	1000.0	100.36005859375	8.69992	102.064964	99.000145	1000.0	72000	0.8243446875	51566.66	1.0	-1.0	-0.9193987426757813	0.04945258331298828	678.6414113044739
19	71.40264129638672	298.00818	81.422585	57.874947	1000.0	57.86490478515625	15342.158	80.935936	-22.829424	1000.0	76000	0.826030703125	51436.93	1.0	-1.0	-0.9181878662109375	0.047609397888183594	719.899297952652
