Epoch	AverageEpisode_Reward	StdEpisode_Reward	MaxEpisode_Reward	MinEpisode_Reward	Episode_Len	AverageTest_Episode_Reward	StdTest_Episode_Reward	MaxTest_Episode_Reward	MinTest_Episode_Reward	Test_Episode_Len	Total_Interactions	AverageAction_Value	StdAction_Value	MaxAction_Value	MinAction_Value	Actor_Loss	Critic_Loss	Time
1	-231.42929077148438	4895.3374	-190.1624	-287.00406	1000.0	-591.12109375	135.53122	-584.83514	-597.8833	1000.0	4000	0.24468036458333334	169197.05	1.0	-0.9999985	-0.4516053466796875	0.20984676106770833	29.548367023468018
2	-329.6407470703125	2805.4949	-295.73578	-362.28525	1000.0	-594.548046875	17.44841	-592.6107	-596.6211	1000.0	8000	0.20613017578125	243154.17	1.0	-1.0	-0.4950777282714844	0.1728621826171875	66.1763596534729
3	-379.09417724609375	91103.125	-126.56283	-513.05115	1000.0	-189.90682373046874	376255.94	51.41115	-536.2721	1000.0	12000	0.12077494140625	250906.67	1.0	-1.0	-0.37621856689453126	0.22060801696777343	100.95210599899292
4	-185.05499267578125	85440.81	-54.58611	-432.0179	1000.0	-116.6660888671875	338.6752	-99.57667	-120.87865	1000.0	16000	0.119728828125	239878.58	1.0	-1.0	-0.41274176025390624	0.23744145202636718	137.5358304977417
5	23.420791625976562	12615.855	109.25067	-29.925148	1000.0	53.40285034179688	226.20619	62.217594	47.87892	1000.0	20000	0.36266984375	163380.5	1.0	-1.0	-0.666737060546875	0.12387301635742187	174.915376663208
6	61.94956970214844	1082.4913	81.007225	35.697853	1000.0	22.156817626953124	37.101944	25.16042	18.63626	1000.0	24000	0.50956390625	129181.65	1.0	-1.0	-0.7717592163085938	0.0967834243774414	212.07685661315918
7	90.3678970336914	665.0099	102.72298	69.475075	1000.0	132.350634765625	107.25118	138.48447	126.832306	1000.0	28000	0.593546015625	116975.24	1.0	-1.0	-0.8207393188476563	0.0845884246826172	247.3467357158661
8	87.63729095458984	196.33936	97.59739	78.98311	1000.0	89.88427734375	176.6706	94.84357	80.07282	1000.0	32000	0.651186484375	105182.42	1.0	-1.0	-0.8512109375	0.07545440673828124	282.48280811309814
9	85.98587036132812	101.40596	92.17342	80.724785	1000.0	130.9886962890625	10.542308	132.44032	128.90306	1000.0	36000	0.688824296875	96648.13	1.0	-1.0	-0.8674008178710938	0.06946733093261719	325.0642955303192
10	66.95760345458984	286.7872	73.951385	52.923862	1000.0	109.3777099609375	18.47441	111.273964	106.87475	1000.0	40000	0.7166834375	90300.445	1.0	-1.0	-0.8778562622070313	0.06595388793945313	370.3611783981323
11	65.40478515625	150.07996	73.11571	58.577652	1000.0	85.23098754882812	188.8273	93.17964	79.19198	1000.0	44000	0.74181328125	81358.42	1.0	-1.0	-0.890775390625	0.059772972106933595	414.6596155166626
12	78.5000991821289	237.44943	85.63674	65.49004	1000.0	116.28935546875	30.749525	118.661674	113.13677	1000.0	48000	0.75944296875	75571.37	1.0	-1.0	-0.89619775390625	0.05553438568115234	460.0704481601715
13	83.85741424560547	289.54413	91.65494	70.701324	1000.0	60.79205322265625	7.311848	62.23263	59.172405	1000.0	52000	0.776253984375	70613.74	1.0	-1.0	-0.9033898315429687	0.05360045623779297	497.79876613616943
14	71.48223876953125	65.778244	75.90811	64.866486	1000.0	88.59215698242187	50.55368	91.631294	83.979965	1000.0	56000	0.789290625	65988.06	1.0	-1.0	-0.9083253784179688	0.05105560684204102	535.1956143379211
15	69.18103790283203	318.47415	80.88891	56.412025	1000.0	104.07806396484375	177.56598	108.40112	96.743195	1000.0	60000	0.799501484375	62851.395	1.0	-1.0	-0.9107208862304688	0.050140396118164066	571.6778440475464
16	67.93608856201172	164.33475	77.15308	61.538906	1000.0	71.22769775390626	7.459346	72.6832	70.13627	1000.0	64000	0.809084921875	60371.832	1.0	-1.0	-0.913080078125	0.04895533752441406	608.103268623352
17	61.65888977050781	91.225266	68.219315	54.726265	1000.0	79.93031005859375	4.704054	80.86772	78.35616	1000.0	68000	0.82011796875	55029.594	1.0	-1.0	-0.9198192138671875	0.045832897186279295	647.3857126235962
18	63.658424377441406	194.64326	72.76733	53.31909	1000.0	82.31570434570312	10.204998	84.593	80.85808	1000.0	72000	0.82576265625	53149.277	1.0	-1.0	-0.920505859375	0.045053398132324216	688.0421116352081
19	58.74182891845703	51.957485	64.980576	56.51446	1000.0	45.68339538574219	10.690824	47.59632	43.772953	1000.0	76000	0.830913984375	51464.074	1.0	-1.0	-0.921489013671875	0.04489706420898437	728.540608882904
20	58.71588134765625	144.03325	65.55827	49.06583	1000.0	58.19730224609375	5.7748046	59.590332	56.973045	1000.0	80000	0.837555859375	48682.797	1.0	-1.0	-0.9237224731445313	0.04315467071533203	769.8932843208313
21	56.37870407104492	15.626719	59.05144	53.543312	1000.0	55.546875	29.522827	58.576393	53.26337	1000.0	84000	0.842998203125	46550.46	1.0	-1.0	-0.9263197021484375	0.04204369354248047	811.8195340633392
22	50.775482177734375	137.31937	59.269512	43.020943	1000.0	68.49267578125	8.118035	70.21291	67.37237	1000.0	88000	0.847559140625	44311.53	1.0	-1.0	-0.928325439453125	0.04066832733154297	857.5327484607697
23	50.889068603515625	15.656357	53.46001	48.171654	1000.0	80.3410400390625	19.358992	82.24201	77.23694	1000.0	92000	0.850880390625	42590.645	1.0	-1.0	-0.9281054077148437	0.03937045669555664	899.776535987854
