Epoch	AverageEpisode_Reward	StdEpisode_Reward	MaxEpisode_Reward	MinEpisode_Reward	Episode_Length	AverageValue_Estimate	StdValue_Estimate	MaxValue_Estimate	MinValue_Estimate	Total_Interaction	Loss_Policy	Loss_Value	Delta_Loss_Policy	Delta_Loss_Value	Entropy	KL_Divergence	Clip_Fraction	Early_Stop_Iter	Time
0	22.166666666666668	24103.0	58.0	8.0	22.166666666666668	0.033807750701904296	264.43396	0.67464316	-0.75207114	4000	-1.1777877517715751e-07	256.6025085449219	-0.0190238319337368	-42.90283203125	0.6928287148475647	0.011686095967888832	0.12849999964237213	79.0	10.92299199104309
1	27.28082191780822	35263.484	89.0	10.0	27.28082191780822	1.8278311767578126	89.98277	2.0413775	1.0362649	8000	3.546476534665999e-08	337.686279296875	-0.015131224878132343	-76.87216186523438	0.6863911151885986	0.007084969896823168	0.054999999701976776	79.0	20.657467365264893
2	32.94166666666667	50020.594	124.0	10.0	32.94166666666667	4.884384765625	41.771732	5.1767263	4.1469855	12000	2.312660285497259e-08	411.75152587890625	-0.01172502152621746	-108.28570556640625	0.6735252141952515	0.003991338424384594	0.038750000298023224	79.0	30.30137348175049
3	44.550561797752806	60736.023	142.0	13.0	44.550561797752806	9.29569921875	662.077	10.41026	7.9020443	16000	-1.2743473121190618e-07	490.05255126953125	-0.01220738422125578	-134.76535034179688	0.6596630215644836	0.0051285275258123875	0.041749998927116394	79.0	39.895099401474
4	55.291666666666664	82860.875	166.0	11.0	55.291666666666664	14.7357138671875	4703.9316	18.268444	6.0782156	20000	-1.5497207073167374e-08	562.162353515625	-0.01296579372137785	-137.10476684570312	0.6429409980773926	0.006269453093409538	0.04450000077486038	79.0	49.54300403594971
5	84.63829787234043	118594.84	186.0	15.0	84.63829787234043	20.82562890625	967.73114	21.763083	19.02261	24000	-8.463859835217136e-09	836.0101928710938	-0.011732910759747028	-228.84130859375	0.6317664384841919	0.006244437303394079	0.035750001668930054	79.0	59.37275767326355
6	111.65714285714286	138139.89	316.0	22.0	111.65714285714286	28.08185546875	17131.31	33.74147	18.131485	28000	-2.872943838383435e-08	905.1664428710938	-0.010001876391470432	-217.5906982421875	0.622235894203186	0.004558366723358631	0.02800000086426735	79.0	69.08528661727905
7	176.0	80416.0	348.0	94.0	176.0	35.8714296875	8519.998	39.737797	30.826727	32000	-2.3901462142816854e-08	986.9266967773438	-0.004696103278547525	-250.1002197265625	0.6158039569854736	0.005481421016156673	0.023749999701976776	79.0	78.6260666847229
8	146.5185185185185	177884.72	389.0	27.0	146.5185185185185	44.184125	288.62463	45.361153	43.3172	36000	-5.9604645663569045e-09	742.139404296875	-0.007018922362476587	-50.81903076171875	0.6134850382804871	0.004330564755946398	0.026750000193715096	79.0	88.22707080841064
9	194.6	110778.8	349.0	89.0	194.6	47.97753125	4506.835	50.94014	43.777817	40000	1.597404519770862e-08	772.1702270507812	-0.0051940870471298695	-77.6871337890625	0.6066421270370483	0.0015578108141198754	0.011250000447034836	79.0	97.8277428150177
