Epoch	AverageEpisode_Reward	StdEpisode_Reward	MaxEpisode_Reward	MinEpisode_Reward	Episode_Length	AverageValue_Estimate	StdValue_Estimate	MaxValue_Estimate	MinValue_Estimate	Total_Interaction	Loss_Policy	Loss_Value	Delta_Loss_Policy	Delta_Loss_Value	Entropy	KL_Divergence	Clip_Fraction	Early_Stop_Iter	Time
0	-353.381103515625	2535.4302	-328.85422	-391.89038	1000.0	-0.07462052917480469	396.0573	0.8055506	-1.0210433	4000	-2.3841859042583735e-10	1195.81005859375	-0.04685239866375923	-103.0626220703125	0.9189386367797852	0.01480298861861229	0.2172500044107437	55.0	9.624260902404785
1	-353.8638000488281	39215.03	-219.50294	-463.83453	1000.0	-1.195581787109375	4192.38	0.9295418	-4.673086	8000	-1.3062357595572394e-07	1181.51806640625	-0.049493785947561264	-216.04022216796875	0.9098727107048035	0.014911426231265068	0.23899999260902405	61.0	19.179019927978516
2	-336.57275390625	2852.603	-315.48163	-381.38083	1000.0	-5.5702255859375	30812.957	0.65833855	-11.816936	12000	-7.605552809764049e-08	845.8295288085938	-0.052689824253320694	-233.6153564453125	0.9064702987670898	0.014947770163416862	0.2542499899864197	65.0	28.619492530822754
3	-311.1096496582031	19785.762	-205.02914	-396.88242	1000.0	-12.547970703125	98634.2	1.3523928	-19.503275	16000	5.364417887676609e-08	503.8988342285156	-0.03621920570731163	-130.209716796875	0.8998978137969971	0.014826118014752865	0.17499999701976776	27.0	37.90904784202576
4	-342.6831359863281	4887.8994	-283.63803	-374.99835	1000.0	-15.611451171875	107324.484	-0.83585024	-25.429724	20000	-1.907348723406699e-09	615.3565673828125	-0.015722252428531647	-176.18939208984375	0.8988072872161865	0.01485489122569561	0.21924999356269836	10.0	47.21649360656738
5	-232.2207489013672	17563.955	-150.94989	-300.10748	1000.0	-22.592615234375	153996.03	-6.591134	-31.932386	24000	-1.6093254506799326e-09	318.16632080078125	-0.05297825485467911	-8.235626220703125	0.8966330289840698	0.014957613311707973	0.2757500112056732	71.0	56.719932079315186
6	-300.49053955078125	13093.245	-220.28142	-376.5185	1000.0	-25.00962109375	134092.25	-8.346542	-32.061443	28000	2.3365020140886372e-08	185.05516052246094	-0.053761076182127	-12.669204711914062	0.8827071189880371	0.010719233192503452	0.26249998807907104	79.0	66.54379057884216
7	-266.7583923339844	5615.2153	-237.31413	-331.05817	1000.0	-28.45893359375	119593.94	-12.336539	-33.25988	32000	-8.881092306012306e-09	167.50344848632812	-0.055256083607673645	-5.4646148681640625	0.8750503063201904	0.012669672258198261	0.28975000977516174	79.0	76.3885269165039
8	-226.7523956298828	16644.117	-161.0623	-304.5411	1000.0	-25.438162109375	108021.74	-13.784372	-32.20515	36000	-4.410743770222325e-09	205.9879608154297	-0.05166448652744293	-9.5535888671875	0.8638976216316223	0.014945837669074535	0.24799999594688416	65.0	85.86435508728027
9	-180.15191650390625	8671.26	-120.57166	-247.54251	1000.0	-25.738796875	73393.984	-11.821845	-30.488707	40000	4.1723252630632146e-10	275.9701843261719	-0.046318404376506805	-37.97892761230469	0.8569542765617371	0.014737666584551334	0.2172500044107437	39.0	95.70973062515259
10	-137.6052703857422	24884.299	-78.44599	-271.20108	1000.0	-18.0896328125	40051.29	-9.02128	-26.777874	44000	3.6954879156780862e-09	284.0595703125	-0.012571555562317371	-19.050079345703125	0.850850522518158	0.01462760753929615	0.19050000607967377	9.0	105.9968011379242
11	-236.42572021484375	10120.936	-165.72131	-307.66956	1000.0	-15.413080078125	37094.766	-5.532581	-24.201227	48000	-1.0013580187262505e-08	326.7334899902344	-0.03554758429527283	-81.24942016601562	0.8491923213005066	0.014551018364727497	0.15850000083446503	27.0	117.50262832641602
